Date,Total_Accidents
20-03-2014,423
20-04-2005,513
20-04-2007,538
20-04-2009,492
20-04-2011,460
20-04-2013,395
20-04-2014,276
20-04-2015,424
20-05-2005,688
20-05-2007,422
20-05-2009,449
20-05-2011,457
20-05-2013,296
20-05-2015,441
20-06-2005,561
20-06-2006,565
20-06-2007,545
20-06-2008,531
20-06-2009,404
20-06-2011,436
20-06-2013,409
20-06-2015,333
20-07-2006,513
20-07-2007,632
20-07-2008,371
20-07-2009,411
20-07-2010,420
20-07-2011,448
20-07-2013,328
20-07-2015,409
20-08-2006,395
20-08-2008,438
20-08-2010,461
20-08-2012,407
20-08-2014,402
20-08-2015,370
20-09-2005,554
20-09-2006,566
20-09-2008,524
20-09-2009,413
20-09-2010,509
20-09-2012,442
20-09-2014,331
20-10-2005,661
